epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,835.3,1.43833,0.94807,1.14023,0.75661,0.46765,0.5487,0.22685,2.10547,1.31759,1.52997,0.0003764,0.0003764,0.0003764
84,845.333,1.41299,0.9177,1.13184,0.73907,0.51532,0.59585,0.25209,1.99587,1.25769,1.42828,0.0003566,0.0003566,0.0003566
85,855.331,1.41348,0.93784,1.12674,0.80252,0.59932,0.68058,0.29778,1.9672,1.14363,1.3939,0.0003368,0.0003368,0.0003368
86,865.368,1.38918,0.88348,1.10773,0.79732,0.51873,0.62468,0.27415,1.97878,1.20748,1.40306,0.000317,0.000317,0.000317
87,875.513,1.40644,0.90413,1.11221,0.70576,0.563,0.63861,0.28815,1.93005,1.18048,1.38313,0.0002972,0.0002972,0.0002972
88,885.637,1.39525,0.8942,1.1042,0.80219,0.55051,0.65246,0.29545,1.88395,1.17497,1.34328,0.0002774,0.0002774,0.0002774
89,895.576,1.3909,0.91123,1.11598,0.73544,0.55051,0.63686,0.26685,2.02088,1.21515,1.44341,0.0002576,0.0002576,0.0002576
90,905.743,1.38885,0.89098,1.10027,0.76036,0.57986,0.67442,0.29295,1.94901,1.14505,1.39785,0.0002378,0.0002378,0.0002378
91,920.214,1.44709,0.95058,1.16034,0.78464,0.49212,0.58158,0.24236,2.13671,1.23487,1.53575,0.000218,0.000218,0.000218
92,929.957,1.44305,1.00995,1.17504,0.7453,0.58126,0.65801,0.27582,2.04259,1.15674,1.45519,0.0001982,0.0001982,0.0001982
93,939.591,1.40756,0.97487,1.15523,0.78191,0.58603,0.68123,0.29448,1.98868,1.12105,1.41702,0.0001784,0.0001784,0.0001784
94,949.315,1.39615,0.97107,1.14263,0.79367,0.58943,0.67774,0.28179,2.04196,1.14329,1.45021,0.0001586,0.0001586,0.0001586
95,959.072,1.38517,0.92803,1.12873,0.77655,0.55619,0.64509,0.26805,2.0807,1.18604,1.49119,0.0001388,0.0001388,0.0001388
96,968.791,1.37227,0.94282,1.13361,0.80405,0.5857,0.68322,0.29023,2.01648,1.09778,1.43687,0.000119,0.000119,0.000119
97,978.557,1.36787,0.92541,1.12852,0.79001,0.53575,0.61601,0.25449,2.097,1.19962,1.51026,9.92e-05,9.92e-05,9.92e-05
98,988.288,1.36455,0.93109,1.1307,0.76375,0.57244,0.65859,0.279,2.04884,1.13672,1.45876,7.94e-05,7.94e-05,7.94e-05
99,998.115,1.33391,0.87625,1.09886,0.75033,0.57649,0.65464,0.27469,2.0616,1.14582,1.47637,5.96e-05,5.96e-05,5.96e-05
100,1007.76,1.35011,0.9162,1.12442,0.79785,0.56073,0.65849,0.27804,2.05674,1.13304,1.47297,3.98e-05,3.98e-05,3.98e-05
